Chimps									AfAmer										
S	5% CI	back rho	95% CI	5% CI	tot rho	95% CI	window		S	5% CI	back rho	95% CI	5% CI	tot rho	95% CI	Win Start	Win End		
93	0.001838	0.002977	0.004609	0.002427	0.004866	0.012462	18450000		44	0.000225	0.000399	0.000642	0.001441	0.002213	0.003478	18638145	18688619		Comparison of the recombination rate estimates for 210 
59	0.002185	0.004402	0.007821	0.002569	0.004807	0.010803	18500000		35	0.000309	0.00052	0.000842	0.000363	0.0006	0.001015	18688619	18739500		homologous 50kb windows in chimpanzees and humans.
50	0.000624	0.001437	0.002485	0.001718	0.003537	0.007615	18550000		21	0.000414	0.000832	0.001452	0.000679	0.001181	0.002522	18739500	18790490		See Ptak et al. 2005 for details.
158	0.000252	0.000433	0.000699	0.00046	0.000839	0.001872	18600000		45	0.000086	0.000194	0.000376	0.000174	0.000324	0.000555	18790490	18840508		
105	0.000242	0.00051	0.00094	0.000307	0.000563	0.001001	18650000		72	0.000209	0.00035	0.000506	0.001205	0.002059	0.003363	18840508	18899332		Listed here is the estimate of background recombination
74	0.000359	0.00068	0.001178	0.000437	0.000848	0.001692	18700000		24	0.000095	0.000231	0.000417	0.000157	0.000275	0.000501	18899332	18949130		rate (back rho) and the total recombination rate (tot rho)
75	0.000153	0.000378	0.000808	0.000404	0.000852	0.001842	18750000		36	0.000373	0.000615	0.000961	0.001384	0.00227	0.003783	18949130	18998493		" for each window, and their respective 95% credible intervals."
33	0.000001	0.000157	0.00066	0.000001	0.000173	0.00066	18850000		93	0.000074	0.000158	0.000284	0.000145	0.000274	0.000476	19048666	19102151		Listed is also the number of segregating sites (S).
123	0.000097	0.000222	0.000424	0.000144	0.000283	0.000509	18900000		100	0.000155	0.000232	0.000354	0.001112	0.001658	0.002346	19102151	19155780		
106	0.000135	0.000331	0.000733	0.000149	0.000393	0.000987	18950000		42	0.000114	0.000191	0.0003	0.00047	0.000486	0.000504	19155780	19202781		The starting location of the 50kb windows is given for chimpanzee
98	0.000426	0.000779	0.001335	0.000447	0.001106	0.00285	19050000		55	0.000775	0.00123	0.001809	0.003891	0.003995	0.004095	19252543	19302689		(window) based on the Chromosome 22 Assembly by
85	0.000769	0.001398	0.002386	0.001287	0.002561	0.005352	19100000		49	0.000707	0.001072	0.001558	0.004533	0.007557	0.012544	19302689	19353064		Riken (http://hgp.gsc.riken.go.jp/sequence/mammaliachr.asp)
35	0.001171	0.002157	0.00421	0.001636	0.003194	0.005982	19150000		37	0.000182	0.000322	0.000509	0.000204	0.000345	0.00057	19353064	19407223		The start and end of the window location is given for humans
94	0.000788	0.001451	0.002324	0.000854	0.001537	0.002509	19200000		30	0.000016	0.000085	0.00027	0.000024	0.000097	0.000322	19407223	19457562		based on Build 34 of the human genome project.
71	0.000683	0.001437	0.00277	0.000937	0.002027	0.006988	19250000		51	0.000049	0.000114	0.00023	0.000067	0.000136	0.000263	19457562	19506719
82	0.000786	0.001305	0.002215	0.001111	0.002182	0.005977	19300000		29	0.000161	0.000318	0.00057	0.000207	0.000373	0.000633	19506719	19556593
126	0.003381	0.004768	0.006862	0.003508	0.005584	0.022337	19350000		70	0.000037	0.000083	0.000159	0.000152	0.000304	0.000551	19556593	19606307
56	0.000521	0.00116	0.002282	0.00104	0.002571	0.006242	19400000		28	0.001095	0.001641	0.00227	0.002537	0.004739	0.008752	19606307	19655993
148	0.000503	0.000865	0.001407	0.000559	0.000989	0.001681	19450000		31	0.000017	0.000094	0.00026	0.000063	0.000154	0.000319	19655993	19706393
65	0.002094	0.003993	0.007303	0.003012	0.005524	0.017317	19500000		23	0.000025	0.000117	0.000392	0.00005	0.00017	0.000359	19706393	19756676
68	0.000221	0.000519	0.001092	0.000285	0.00064	0.001378	19550000		27	0.000261	0.000574	0.001063	0.000556	0.001747	0.004523	19756676	19807057
50	0.000267	0.000559	0.001081	0.000265	0.000629	0.001452	19600000		34	0.000551	0.000875	0.001328	0.000748	0.001153	0.001616	19807057	19857188
56	0.000702	0.001389	0.002678	0.000804	0.00178	0.004743	19700000		33	0.0005	0.000807	0.001305	0.002157	0.002229	0.002309	19915299	19965396
128	0.001274	0.00188	0.002731	0.001494	0.002367	0.005324	19900000		64	0.00016	0.000276	0.000449	0.000556	0.000939	0.001593	20115527	20165023
69	0.000084	0.000241	0.000584	0.000163	0.000334	0.000669	20000000		38	0.000207	0.000411	0.000711	0.000499	0.000889	0.001492	20214993	20265018
46	0.000402	0.000904	0.002196	0.000842	0.001548	0.00296	20050000		31	0.000262	0.000439	0.000762	0.000621	0.001185	0.002857	20265018	20314965
39	0.000388	0.000917	0.00196	0.000425	0.001037	0.002647	20100000		39	0.00034	0.000696	0.001032	0.000506	0.000854	0.001337	20314965	20364609
44	0.001839	0.003341	0.005859	0.00202	0.00395	0.008352	20150000		40	0.000019	0.000049	0.000118	0.000097	0.000226	0.000439	20364609	20414655
46	0.000806	0.002064	0.004592	0.001252	0.002787	0.007266	20200000		46	0.000014	0.000044	0.00012	0.000011	0.000051	0.000143	20414655	20464108
74	0.0005	0.001251	0.002609	0.000816	0.001569	0.002821	20250000		27	0.000061	0.000172	0.000415	0.000073	0.000204	0.00046	20464108	20516204
27	0.000105	0.000675	0.002586	0.000314	0.001125	0.003284	20300000		25	0.000044	0.000132	0.000344	0.000063	0.000177	0.000379	20516204	20565609
47	0.000598	0.001109	0.002012	0.000736	0.001359	0.002716	20350000		27	0.000103	0.000245	0.000547	0.00013	0.000299	0.00057	20565609	20616884
